proof_name;collect_units;fix;reinsert;rebuild;reassemble;total time (seconds);original_lines;compressed_lines;line_difference;checker_err;elab_err;compress_err;invalid_compress;worked
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_02_48_40_347_6306868.alethe;"0,254389";"0,004757";"0,002859";"0,091449";"0,0029749999999999998";"0,403134";68;68;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_22_53_18_662_5126010.alethe;"0,156992";"0,004371";"0,0024159999999999997";"0,051521";"0,001615";"0,240566";37;37;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_05_38_10_024_5021652.alethe;"0,07708200000000001";"0,005569";"0,002908";"0,027778999999999998";"0,000611";"0,133285";9;9;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_05_58_56_101_4999042.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_02_01_23_831_4989466.alethe;"0,138463";"0,0044870000000000005";"0,0024839999999999997";"0,044845";"0,002148";"0,219562";27;27;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_15_32_03_658_5027792.alethe;"0,289281";"0,008177";"0,006343";"0,105206";"0,002268";"0,453515";28;28;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_07_39_59_356_8286710.alethe;"0,643585";"0,14910400000000001";"0,027753999999999997";"0,22704";"0,00358";"1,130478";165;163;-2;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_07_47_03_336_8415396.alethe;"0,12218099999999998";"0,006718";"0,003106";"0,050233";"0,0005819999999999999";"0,206504";12;12;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_08_54_58_800_8622276.alethe;"1,986196";"0,226759";"0,032906";"0,691371";"0,0070090000000000005";"3,1756520000000004";533;528;-5;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_14_40_38_348_18086788.alethe;"0,037855";"0,002434";"0,002287";"0,014426000000000001";"0,00046899999999999996";"0,07129100000000001";7;7;0;;;;;1;
