proof_name;collect_units;fix;reinsert;rebuild;reassemble;total time (seconds);original_lines;compressed_lines;line_difference;checker_err;elab_err;compress_err;invalid_compress;worked
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_10_32_57_278_8786860.alethe;"0,216489";"0,007073";"0,0036940000000000002";"0,07077800000000001";"0,003781";"0,34943399999999997";46;46;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_11_38_42_311_8070654.alethe;"0,173063";"0,004551";"0,0029720000000000002";"0,066637";"0,001831";"0,27768299999999996";45;45;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_11_03_46_245_6947972.alethe;"0,299543";"0,008365000000000001";"0,0039829999999999996";"0,10494400000000001";"0,0034130000000000002";"0,47058799999999995";25;25;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_08_27_55_155_6907842.alethe;"0,048607";"0,0024490000000000002";"0,001949";"0,017009";"0,000445";"0,081834";9;9;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_08_22_15_005_6784552.alethe;"0,12467000000000002";"0,0033009999999999997";"0,002485";"0,048674";"0,0016950000000000001";"0,204971";34;34;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_09_52_49_043_7309732.alethe;"0,19234300000000001";"0,004969";"0,003043";"0,06510400000000001";"0,002681";"0,302469";46;46;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_10_15_09_268_8146046.alethe;"0,175684";"0,004495";"0,0027080000000000003";"0,069189";"0,0021119999999999997";"0,282966";45;45;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_10_07_44_954_7926864.alethe;"2,554121";"0,055921000000000005";"0,011349999999999999";"0,8922249999999999";"0,012568999999999999";"3,8358369999999997";684;684;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_11_27_11_902_7669548.alethe;"0,237114";"0,00712";"0,0039369999999999995";"0,08947500000000001";"0,002079";"0,378077";23;23;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_07_26_12_932_6896974.alethe;"0,030267";"0,002807";"0,002719";"0,010526";"0,000439";"0,060550999999999994";3;3;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_09_25_10_621_6558732.alethe;"0,126459";"0,004412";"0,002479";"0,040911";"0,002426";"0,204071";25;25;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_10_20_35_137_8340826.alethe;"0,950954";"0,193179";"0,021263";"0,336731";"0,0038789999999999996";"1,612617";257;253;-4;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_09_33_21_037_6771648.alethe;"0,159445";"0,0056879999999999995";"0,00233";"0,051477";"0,003804";"0,252282";35;35;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_11_43_15_042_8230710.alethe;"0,919055";"0,182375";"0,020422";"0,32141400000000003";"0,0038";"1,558106";257;253;-4;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_11_27_32_827_7700138.alethe;"0,06339399999999999";"0,004891";"0,00295";"0,026651";"0,000506";"0,115571";5;5;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_09_59_45_033_7594958.alethe;"0,094049";"0,004595";"0,002464";"0,031539";"0,000435";"0,15057600000000002";19;19;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_09_35_38_247_6823946.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_08_53_44_693_7674670.alethe;"0,373351";"0,008933";"0,0027099999999999997";"0,127306";"0,000473";"0,55362";41;41;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_10_56_25_651_6754398.alethe;"0,09906100000000001";"0,0045190000000000004";"0,00221";"0,033201";"0,000471";"0,15836999999999998";22;22;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_08_50_23_725_7547200.alethe;"0,325009";"0,007189";"0,00287";"0,114597";"0,002866";"0,499732";90;90;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_11_13_17_046_7172414.alethe;"0,193282";"0,069855";"0,015919000000000003";"0,067748";"0,0014169999999999999";"0,375653";43;41;-2;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_10_40_20_143_9016978.alethe;"0,060171999999999996";"0,0033770000000000002";"0,002042";"0,022285";"0,000504";"0,102715";13;13;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_08_42_45_120_7255478.alethe;"0,198157";"0,0048720000000000005";"0,00279";"0,066317";"0,002618";"0,309339";46;46;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_09_58_56_288_7544110.alethe;"0,074116";"0,003236";"0,0021739999999999997";"0,027525";"0,00045400000000000003";"0,123889";16;16;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_08_53_20_155_7639618.alethe;"0,110458";"0,005404";"0,002732";"0,039307";"0,0027530000000000002";"0,18268";23;23;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_09_33_16_652_6767056.alethe;"0,13382";"0,004456";"0,002423";"0,052298";"0,002552";"0,22246000000000002";27;27;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_09_28_51_117_6657328.alethe;"0,10012599999999999";"0,005399";"0,0018759999999999998";"0,036157";"0,00046499999999999997";"0,16121000000000002";22;22;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_11_41_39_350_8184118.alethe;"0,822581";"0,015098";"0,003525";"0,29076599999999997";"0,003402";"1,231382";235;235;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_10_48_58_379_6557490.alethe;"0,25837499999999997";"0,007982000000000001";"0,005082";"0,11469399999999999";"0,0021449999999999998";"0,42794699999999997";25;25;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_09_54_34_600_7355782.alethe;"0,131911";"0,004462";"0,0024059999999999997";"0,046582000000000005";"0,0022180000000000004";"0,214747";26;26;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_08_53_41_732_7670442.alethe;"0,064732";"0,003941999999999999";"0,002959";"0,029521000000000002";"0,0006659999999999999";"0,124976";5;5;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_08_28_51_347_6931786.alethe;"0,219748";"0,007067";"0,002739";"0,07587100000000001";"0,002359";"0,34500299999999995";54;54;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_08_49_30_898_7472110.alethe;"0,07449499999999999";"0,003272";"0,00206";"0,02841";"0,000566";"0,125983";16;16;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_09_18_29_069_6951070.alethe;"0,188872";"0,006377";"0,004056";"0,06805";"0,002216";"0,30653199999999997";16;16;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_08_01_03_833_7145756.alethe;"0,16125699999999998";"0,00538";"0,002408";"0,051";"0,0024600000000000004";"0,253363";35;35;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_11_23_26_601_7548952.alethe;"0,07342499999999999";"0,003362";"0,0047550000000000005";"0,032559";"0,0005080000000000001";"0,13255299999999998";7;7;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_10_03_43_074_7753180.alethe;"0,034795";"0,003392";"0,001815";"0,012178";"0,00046199999999999995";"0,06540199999999999";5;5;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_08_44_41_350_7303236.alethe;"0,188519";"0,005073";"0,002729";"0,065117";"0,002833";"0,299703";45;45;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_08_12_16_842_6598996.alethe;"0,15459299999999998";"0,005492";"0,002203";"0,051";"0,002191";"0,242976";35;35;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_11_12_17_994_7140226.alethe;"0,125838";"0,004283";"0,002299";"0,043917";"0,002247";"0,205323";25;25;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_11_16_29_815_7258496.alethe;"0,190908";"0,005001";"0,002441";"0,065239";"0,0026709999999999998";"0,299915";46;46;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_09_11_25_097_6779414.alethe;"3,9204799999999995";"0,465653";"0,044753";"1,2854839999999998";"0,014503";"6,203862";1054;1043;-11;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_10_34_29_223_8823624.alethe;"2,28101";"0,293915";"0,024785";"0,793168";"0,009174999999999999";"3,663899";647;646;-1;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_08_39_15_137_7165782.alethe;"0,19583099999999998";"0,076403";"0,016936";"0,06866";"0,00185";"0,390464";43;41;-2;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_09_26_40_846_6599472.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_08_12_11_455_6594276.alethe;"0,138379";"0,004430999999999999";"0,002098";"0,042379";"0,00216";"0,216844";27;27;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_11_18_02_777_7301494.alethe;"0,125363";"0,004127";"0,0021550000000000002";"0,039832";"0,002059";"0,197748";25;25;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_09_37_30_915_6885948.alethe;"0,13195";"0,0045390000000000005";"0,002318";"0,045478";"0,001999";"0,213845";29;29;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_10_21_37_232_8387540.alethe;"0,223947";"0,005351";"0,002229";"0,087533";"0,000567";"0,348051";64;64;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_07_19_30_083_6734464.alethe;"0,164602";"0,004399";"0,002138";"0,054447";"0,0022170000000000002";"0,256557";38;38;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_11_23_36_812_7559428.alethe;"0,326027";"0,007167";"0,00287";"0,118774";"0,002798";"0,504281";90;90;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_09_31_29_999_6727286.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_10_03_14_234_7722910.alethe;"0,103634";"0,003771";"0,002237";"0,037105";"0,001495";"0,169369";23;23;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_07_47_15_903_6833024.alethe;"2,3583760000000002";"0,251199";"0,031633";"0,849322";"0,00933";"3,775589";613;609;-4;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_11_18_10_866_7306320.alethe;"0,189794";"0,006419";"0,002861";"0,064458";"0,002692";"0,301507";45;45;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_08_19_05_350_6710872.alethe;"0,130647";"0,009704";"0,004135";"0,045343";"0,0022170000000000002";"0,220968";27;27;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_08_50_07_500_7524390.alethe;"0,092123";"0,003948";"0,002025";"0,030626999999999998";"0,000456";"0,147093";19;19;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_11_00_37_649_6872192.alethe;"0,09833";"0,003909999999999999";"0,002159";"0,035623";"0,00046";"0,158505";23;23;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_10_32_36_323_8760154.alethe;"0,033212";"0,002615";"0,002167";"0,011319";"0,00041600000000000003";"0,06299099999999999";4;4;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_09_54_43_219_7365862.alethe;"0,187367";"0,00511";"0,002836";"0,064805";"0,002594";"0,29705299999999996";45;45;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_08_21_17_007_6762638.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_09_39_18_573_6936158.alethe;"0,19809800000000002";"0,004068";"0,002819";"0,071752";"0,002241";"0,314044";56;56;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_08_44_22_142_7293140.alethe;"0,13358399999999998";"0,004523";"0,0021950000000000003";"0,044473";"0,0019850000000000002";"0,214312";26;26;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_09_12_01_841_6793022.alethe;"0,16512100000000002";"0,004527";"0,002182";"0,053919999999999996";"0,002339";"0,25688700000000003";38;38;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_09_36_28_404_6845920.alethe;"0,125112";"0,003498";"0,002474";"0,050658999999999996";"0,001758";"0,21046600000000001";34;34;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_07_47_44_761_6850464.alethe;"0,479786";"0,008698000000000001";"0,002715";"0,163575";"0,002108";"0,7080329999999999";109;109;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_08_16_20_539_6663446.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_11_39_15_966_8097158.alethe;"0,205733";"0,005425";"0,002764";"0,07936599999999999";"0,002159";"0,329434";55;55;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_11_38_31_460_8065016.alethe;"0,099233";"0,0054199999999999995";"0,00204";"0,035589";"0,00045200000000000004";"0,161304";23;23;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_07_57_32_283_7072552.alethe;"0,221607";"0,005443";"0,0030740000000000003";"0,08945099999999999";"0,001914";"0,35622699999999996";62;62;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_10_59_11_764_6821604.alethe;"0,126384";"0,004346";"0,0025050000000000003";"0,048722";"0,001646";"0,209065";34;34;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_08_19_08_568_6715534.alethe;"0,152707";"0,0056110000000000005";"0,0023580000000000003";"0,051705";"0,002069";"0,243402";35;35;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_11_08_29_482_7050354.alethe;"0,131863";"0,004196";"0,0021969999999999997";"0,044317";"0,002075";"0,210935";29;29;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_11_17_59_544_7296326.alethe;"0,13279200000000002";"0,004523";"0,002157";"0,04607";"0,002132";"0,21309";26;26;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_09_48_49_792_7191394.alethe;"0,122938";"0,0041919999999999995";"0,002034";"0,05082";"0,002122";"0,208979";25;25;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_07_58_22_614_7089396.alethe;"0,226323";"0,008119";"0,003575";"0,088428";"0,001996";"0,36624999999999996";59;59;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_08_35_34_861_7078028.alethe;"0,200729";"0,004413";"0,0028569999999999997";"0,073427";"0,002283";"0,32092";56;56;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_cvc42/x2020_07_31_09_01_18_948_7973592.alethe;"1,205952";"0,028285";"0,004992";"0,41553100000000004";"0,005045999999999999";"1,798885";331;331;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_07_44_44_324_7110090.alethe;"0,33221599999999996";"0,005422";"0,003248";"0,12530000000000002";"0,002165";"0,507324";109;109;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_07_29_09_739_7435878.alethe;"0,242781";"0,005142";"0,0026690000000000004";"0,098461";"0,0016539999999999999";"0,382309";74;74;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_11_37_49_366_7111712.alethe;"0,130519";"0,004335";"0,002123";"0,043719";"0,002043";"0,208077";26;26;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_07_26_49_684_7241358.alethe;"0,146964";"0,0042";"0,001951";"0,04944";"0,002192";"0,23045300000000002";35;35;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_07_40_15_837_6925752.alethe;"0,402115";"0,006523";"0,002235";"0,158483";"0,0005179999999999999";"0,605719";144;144;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_08_25_54_661_6543044.alethe;"0,594244";"0,080926";"0,016361";"0,207046";"0,004385";"0,9827119999999999";155;153;-2;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_07_43_23_214_7029634.alethe;"0,374477";"0,005242";"0,002536";"0,139539";"0,002554";"0,564112";124;124;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_11_36_10_763_7081162.alethe;"0,199934";"0,005856";"0,005235";"0,070002";"0,003464";"0,329515";46;46;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_09_12_43_364_6768594.alethe;"0,169727";"0,004836999999999999";"0,002739";"0,055130000000000005";"0,003980999999999999";"0,268168";38;38;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_08_34_37_784_6738722.alethe;"1,9066420000000002";"0,222074";"0,037419999999999995";"0,688507";"0,007871";"3,0845540000000002";489;485;-4;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_07_52_48_561_7501226.alethe;"0,211111";"0,004617";"0,00268";"0,079968";"0,002375";"0,333448";60;60;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_07_37_18_661_6755378.alethe;"0,271191";"0,003231";"0,002835";"0,114022";"0,001869";"0,427804";96;96;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_07_38_07_156_6800178.alethe;"0,357538";"0,004425999999999999";"0,0022589999999999997";"0,13663";"0,002067";"0,542244";124;124;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_11_30_02_352_7000072.alethe;"0,12159500000000001";"0,004446";"0,002293";"0,041971";"0,002103";"0,196967";25;25;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_07_54_54_384_7570056.alethe;"0,16019";"0,004182999999999999";"0,002396";"0,058126";"0,001527";"0,250462";42;42;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_11_13_31_196_6779240.alethe;"0,196231";"0,006209";"0,002503";"0,06865";"0,00212";"0,30646";47;47;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_07_18_54_205_6970360.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_07_33_44_815_6579534.alethe;"0,293598";"0,004187";"0,0022010000000000003";"0,10982700000000001";"0,002224";"0,44734100000000004";94;94;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_11_15_15_652_6800894.alethe;"0,197247";"0,00459";"0,003263";"0,07405400000000001";"0,0022800000000000003";"0,31944900000000004";56;56;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_07_51_22_031_7425036.alethe;"0,129893";"0,005436";"0,002187";"0,046525";"0,000571";"0,204151";31;31;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_11_27_23_024_6961998.alethe;"0,20096999999999998";"0,005315";"0,0033179999999999998";"0,073653";"0,002396";"0,32155999999999996";56;56;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_08_13_45_546_8411622.alethe;"0,23455700000000002";"0,005312";"0,001894";"0,092824";"0,0004969999999999999";"0,36439099999999996";66;66;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_11_25_33_842_6939140.alethe;"0,632467";"0,014465";"0,003195";"0,223626";"0,002169";"0,946757";188;188;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_08_18_48_453_6714296.alethe;"0,30230799999999997";"0,08190399999999999";"0,014251";"0,125062";"0,001788";"0,566161";81;79;-2;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_10_24_41_046_6558278.alethe;"0,26648900000000003";"0,004932000000000001";"0,00417";"0,110822";"0,002473";"0,437765";31;31;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_08_16_56_102_6603526.alethe;"0,260864";"0,006334";"0,002673";"0,090883";"0,002552";"0,400395";68;68;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_07_24_58_815_7031022.alethe;"0,308689";"0,005261";"0,0038229999999999996";"0,12277800000000001";"0,001757";"0,48067299999999996";99;99;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_08_28_28_750_6663078.alethe;"0,10137800000000001";"0,004248";"0,002184";"0,035891";"0,000451";"0,164099";26;26;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_11_01_46_825_6620536.alethe;"0,09534000000000001";"0,004327";"0,002301";"0,032674";"0,00045400000000000003";"0,152015";22;22;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_08_10_53_304_8281900.alethe;"0,161604";"0,004446";"0,002727";"0,055771";"0,002649";"0,259019";40;40;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_11_17_34_855_6833646.alethe;"0,04981";"0,002511";"0,0019379999999999998";"0,018014000000000002";"0,000447";"0,08643400000000001";9;9;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_07_20_52_450_6639132.alethe;"0,14860399999999999";"0,004491";"0,002214";"0,048935";"0,002255";"0,233115";35;35;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_07_39_35_901_6894822.alethe;"0,24038299999999999";"0,0039840000000000006";"0,0020150000000000003";"0,094";"0,000523";"0,363711";88;88;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_07_22_46_320_6808398.alethe;"0,171876";"0,0033680000000000003";"0,002427";"0,058908";"0,000455";"0,259791";44;44;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_07_21_42_793_6707432.alethe;"0,14984899999999998";"0,004664";"0,0024059999999999997";"0,049973";"0,003874";"0,24061";35;35;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_11_31_49_381_7022780.alethe;"0,18923";"0,073618";"0,016263";"0,068831";"0,001396";"0,377885";43;41;-2;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/Green_veriT2/x2020_07_31_09_26_24_187_6942088.alethe;"0,157455";"0,004912";"0,001954";"0,05299";"0,0018909999999999999";"0,24600799999999998";35;35;0;;;;;1;
